台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-11 16:00:00,2,1065.0,1168.983,169.0,896.0,0.0,50.237633,9.465,91.03,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-11 17:00:00,2,1020.0,1098.0,156.0,864.0,0.0,47.41635,9.625,95.465,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-11 18:00:00,2,1176.0,1278.5,205.0,971.0,0.0,46.06786,13.635,81.585,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-11 19:00:00,2,1333.0,1442.5,218.0,1102.0,0.0,35.839413,22.765,68.19,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-11 20:00:00,2,1262.0,1374.4915,201.0,1061.0,0.0,38.94875,20.965,74.595,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-11 21:00:00,2,370.0,1272.6316,66.0,304.0,0.0,44.61535,17.255001,86.25,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-11 22:00:00,2,540.0,1040.0,64.0,476.0,0.0,54.190704,6.315,102.255005,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-11 23:00:00,2,506.0,779.26825,53.0,453.0,0.0,54.826912,4.5,129.535,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-12 00:00:00,2,122.0,338.18182,4.0,118.0,0.0,55.862297,1.38,195.49,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-12 01:00:00,2,119.0,322.17395,9.0,110.0,0.0,58.59824,1.3050001,205.875,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-12 02:00:00,2,146.0,163.63635,8.0,138.0,0.0,57.706367,0.815,238.5,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-12 03:00:00,2,84.0,84.0,0.0,84.0,0.0,59.58143,0.46499997,247.75,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-12 04:00:00,2,80.0,82.5,5.0,75.0,0.0,60.277,0.5,247.79001,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-12 05:00:00,2,75.0,78.5,7.0,68.0,0.0,56.506535,0.465,246.715,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-12 06:00:00,2,143.0,152.0,18.0,125.0,0.0,43.87538,0.91499996,239.33499,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-12 07:00:00,2,327.0,349.5,45.0,282.0,0.0,42.5534,2.075,198.055,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-12 08:00:00,3,1713.0,1782.5,139.0,1556.0,0.0,44.425602,8.63,109.11667,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-12 09:00:00,2,389.0,1111.917,62.0,323.0,0.0,37.498127,23.845001,76.92,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-12 10:00:00,2,1012.0,1200.8687,156.0,857.0,-1.0,37.759457,25.015,85.895004,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-12 11:00:00,2,923.0,1149.8076,147.0,776.0,0.0,44.334885,12.9,90.93,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-12 12:00:00,2,1048.0,1121.5,146.0,896.0,0.0,52.172894,7.1450005,96.19,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-12 13:00:00,2,968.0,1039.856,122.0,831.0,0.0,50.331383,9.025001,103.085,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-12 14:00:00,2,1040.0,1128.0173,135.0,905.0,0.0,47.837654,12.16,90.875,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-12 15:00:00,2,1145.0,1236.0,182.0,963.0,0.0,50.895836,10.625,83.125,
VQEUU60,民權東路六段(中天電視對面),往西,2016-10-12 16:00:00,2,1074.0,1172.0339,157.0,917.0,0.0,45.766987,13.1,88.149994,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 00:00:00,2,362.0,380.5,37.0,325.0,0.0,44.456547,2.415,189.86499,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 01:00:00,2,185.0,192.5,15.0,170.0,0.0,48.92108,1.1,228.11499,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 02:00:00,2,118.0,121.0,6.0,112.0,0.0,46.70297,0.64,238.29001,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 03:00:00,2,64.0,66.5,5.0,59.0,0.0,51.812187,0.39999998,246.39,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 04:00:00,2,68.0,71.0,6.0,62.0,0.0,51.63412,0.39000002,248.23999,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 05:00:00,2,105.0,110.0,10.0,95.0,0.0,51.935432,0.615,240.455,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 06:00:00,2,226.0,234.0,16.0,210.0,0.0,47.565132,1.4100001,215.66,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 07:00:00,2,639.0,671.5,65.0,574.0,0.0,45.224068,4.3500004,150.70999,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 08:00:00,1,905.0,942.0,74.0,831.0,0.0,42.37,14.08,69.55,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 09:00:00,2,1743.0,1828.0,170.0,1573.0,0.0,38.494217,14.675,76.130005,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 10:00:00,2,1784.0,1870.5,173.0,1611.0,0.0,40.47307,14.5199995,69.765,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 11:00:00,2,1534.0,1603.0,138.0,1396.0,0.0,39.15771,12.74,78.54,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 12:00:00,2,1471.0,1548.5,155.0,1316.0,0.0,38.247143,12.684999,81.44,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 13:00:00,2,1375.0,1439.5,129.0,1246.0,0.0,37.337322,12.02,87.085,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 14:00:00,2,1346.0,1405.0,118.0,1228.0,0.0,39.736492,11.125,89.41,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 15:00:00,2,1184.0,1421.5386,96.0,1088.0,0.0,39.912567,10.59,92.4,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 16:00:00,2,1381.0,1472.0339,133.0,1248.0,0.0,38.44859,12.12,83.515,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 17:00:00,2,1385.0,1440.0,110.0,1275.0,0.0,36.850952,11.675,87.76,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 18:00:00,2,1607.0,1694.5,175.0,1432.0,0.0,33.168945,14.89,73.979996,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 19:00:00,2,1341.0,1415.5,149.0,1192.0,0.0,30.984243,15.24,80.3,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 20:00:00,2,1036.0,1110.5,149.0,887.0,0.0,32.929787,13.200001,94.05,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 21:00:00,2,309.0,1038.9474,40.0,269.0,0.0,40.11104,7.215,117.54,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 22:00:00,2,464.0,885.4546,46.0,418.0,0.0,38.09138,6.455,123.33499,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-11 23:00:00,2,392.0,605.12195,43.0,349.0,0.0,40.571224,4.83,146.86499,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-12 00:00:00,2,108.0,309.54544,11.0,97.0,0.0,46.06778,2.22,198.58,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-12 01:00:00,2,105.0,286.95654,10.0,95.0,0.0,47.876663,1.615,215.82,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-12 02:00:00,2,111.0,124.90909,7.0,104.0,0.0,45.60189,0.73,239.165,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-12 03:00:00,2,77.0,77.5,1.0,76.0,0.0,49.104156,0.48,243.86,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-12 04:00:00,2,72.0,75.5,7.0,65.0,0.0,52.361668,0.5,243.735,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-12 05:00:00,2,123.0,126.5,7.0,116.0,0.0,48.202194,0.765,237.965,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-12 06:00:00,2,229.0,240.5,23.0,206.0,0.0,49.19144,1.355,217.905,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-12 07:00:00,2,625.0,656.0,62.0,563.0,0.0,44.632145,4.565,153.975,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-12 08:00:00,1,949.0,1002.5,107.0,842.0,0.0,37.42,17.28,70.02,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-12 09:00:00,2,658.0,1809.1305,71.0,587.0,0.0,36.647053,15.46,77.92,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-12 10:00:00,2,1485.0,1699.0908,145.0,1340.0,0.0,38.25892,14.1,77.54,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-12 11:00:00,2,1361.0,1656.9231,150.0,1211.0,0.0,34.851147,15.005,78.994995,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-12 12:00:00,2,1566.0,1639.5,147.0,1419.0,0.0,36.253773,14.065001,79.45,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-12 13:00:00,2,1374.0,1437.5,127.0,1247.0,0.0,38.288353,11.695,87.66,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-12 14:00:00,2,1319.0,1365.5,93.0,1226.0,0.0,39.6315,10.085,95.14,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-12 15:00:00,2,1430.0,1494.0,128.0,1302.0,0.0,37.857113,12.01,85.17,
VQEUU60,民權東路六段(中天電視對面),往東,2016-10-12 16:00:00,2,1404.0,1511.6948,165.0,1239.0,0.0,36.35383,13.870001,82.415,
,,,,,,,,,,,,,
頁碼：第 1/1 頁,,,,,,,,,,,,,
