台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-12 08:00:00,2,292.0,314.5,45.0,247.0,0.0,77.36199,1.325,204.375,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-12 09:00:00,2,122.0,350.45453,13.0,109.0,0.0,63.601475,1.57,208.04001,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-12 10:00:00,2,372.0,444.10712,85.0,287.0,0.0,76.91183,2.01,191.765,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-12 11:00:00,2,368.0,457.35846,72.0,296.0,0.0,91.795296,1.9300001,187.2,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-12 12:00:00,2,443.0,511.48685,68.0,373.0,-1.0,70.19711,2.9650002,183.38,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-12 13:00:00,2,536.0,600.5,129.0,406.0,0.0,66.14822,3.14,171.66,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-12 14:00:00,2,441.0,500.5,101.0,341.0,-1.0,67.330414,2.7749999,181.125,
VT5QV00,堤頂大道二段344號對面人行道,往北,2016-10-12 15:00:00,2,488.0,531.0,86.0,402.0,0.0,71.143524,2.4250002,181.675,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 00:00:00,2,5.0,6.5,3.0,2.0,0.0,97.0,0.055,245.83,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 01:00:00,2,5.0,5.0,0.0,5.0,0.0,96.2,0.045,250.0,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 02:00:00,2,3.0,3.0,0.0,3.0,0.0,92.333336,0.024999999,245.83,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 03:00:00,2,5.0,6.0,2.0,3.0,0.0,88.602005,0.04,250.0,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 04:00:00,2,4.0,4.0,0.0,4.0,0.0,84.25,0.03,245.83,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 05:00:00,2,1.0,1.0,0.0,1.0,0.0,95.0,0.01,245.83,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 06:00:00,2,3.0,4.0,2.0,1.0,0.0,86.666664,0.035,245.83,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 07:00:00,2,10.0,11.0,2.0,8.0,0.0,79.3,0.095,250.0,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 08:00:00,2,49.0,51.5,5.0,44.0,0.0,83.83858,0.26999998,246.91,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 09:00:00,2,56.0,59.491524,5.0,51.0,0.0,85.817856,0.27499998,240.265,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 10:00:00,2,106.0,115.5,19.0,87.0,0.0,70.445755,1.01,235.435,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 11:00:00,2,80.0,85.0,10.0,70.0,0.0,69.57863,0.44,242.245,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 12:00:00,2,48.0,55.34483,11.0,37.0,0.0,74.291664,0.26,246.66501,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 13:00:00,2,70.0,79.0,18.0,52.0,0.0,79.37429,0.42499998,244.45499,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 14:00:00,2,73.0,78.0,10.0,63.0,0.0,82.05589,0.375,237.955,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 15:00:00,2,49.0,61.698112,11.0,38.0,0.0,118.89571,0.315,247.875,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 16:00:00,2,73.0,78.5,11.0,62.0,0.0,109.9737,0.42499998,246.59,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 17:00:00,2,64.0,69.5,11.0,53.0,0.0,85.60875,0.435,245.715,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 18:00:00,2,56.0,58.5,5.0,51.0,0.0,86.361435,0.32,244.055,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 19:00:00,2,41.0,42.0,2.0,39.0,0.0,84.51219,0.25,248.285,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 20:00:00,2,32.0,34.0,4.0,28.0,0.0,79.43781,0.26,243.78,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 21:00:00,2,3.0,9.999999,0.0,3.0,0.0,78.0,0.09,250.0,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 22:00:00,2,5.0,10.3125,1.0,4.0,0.0,78.6,0.07,242.86,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-11 23:00:00,2,9.0,16.829268,5.0,4.0,0.0,78.55556,0.135,250.0,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-12 00:00:00,2,1.0,2.6086957,0.0,1.0,0.0,73.0,0.0,250.0,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-12 01:00:00,2,1.0,2.7272727,0.0,1.0,0.0,81.0,0.05,250.0,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-12 02:00:00,2,1.0,1.090909,0.0,1.0,0.0,80.0,0.01,245.45,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-12 03:00:00,2,5.0,6.0,2.0,3.0,0.0,77.2,0.04,245.83,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-12 04:00:00,2,3.0,3.5,1.0,2.0,0.0,77.333336,0.024999999,245.83,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-12 05:00:00,2,6.0,6.5,1.0,5.0,0.0,76.833336,0.04,245.83,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-12 06:00:00,2,8.0,8.0,0.0,8.0,0.0,74.99875,0.065,245.83,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-12 07:00:00,2,31.0,35.0,8.0,23.0,0.0,92.26065,0.19500001,249.54001,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-12 08:00:00,2,76.0,81.0,10.0,66.0,0.0,81.35394,0.7,234.95001,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-12 09:00:00,2,30.0,91.36363,7.0,23.0,0.0,94.402,0.26999998,234.23999,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-12 10:00:00,2,119.0,133.39285,11.0,108.0,0.0,73.514786,1.025,233.22,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-12 11:00:00,2,86.0,103.58491,11.0,75.0,0.0,120.97535,0.495,240.395,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-12 12:00:00,2,344.0,369.4737,14.0,330.0,0.0,24.7841,0.51,242.175,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-12 13:00:00,2,94.0,101.5,15.0,79.0,0.0,78.59639,0.625,236.28,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-12 14:00:00,2,81.0,89.5,17.0,64.0,0.0,74.08568,0.49,243.125,
VT5QV00,堤頂大道二段344號對面人行道,往南,2016-10-12 15:00:00,2,91.0,97.5,13.0,78.0,0.0,88.00538,0.42000002,240.83,
,,,,,,,,,,,,,
頁碼：第 1/1 頁,,,,,,,,,,,,,
